imb_id;imb_longitude;imb_latitude;imb_code;imb_code_insee;imb_nbr_logloc;imb_source;imb_type;addr_code;imb_num;addr_numero;addr_rep;addr_nom_voie;addr_nom_ld;addr_code_insee;addr_nom_commune;addr_id_fantoir;addr_source
8984863;635530.0227138192;5651704.567169591;IMB/38185/C/03VP;38185;17;fo;imm;38185_0120_00003;;3;;Rue Adrien Ricard;NA;38185;Grenoble;38185_0120;ban
97151;637677.3846301243;5651899.116215742;IMB/38185/C/016H;38185;3;fo;imm;38185_0130_00001_ter;;1;ter;Rue Agier;NA;38185;Grenoble;38185_0130;ban
3793385;637644.235616991;5651886.333067111;IMB/38185/C/016F;38185;7;fo;imm;38185_0130_00003;;3;;Rue Agier;NA;38185;Grenoble;38185_0130;ban
387437;637474.6072626136;5651205.32316784;IMB/38185/C/000G;38185;7;fo;imm;38185_0140_00009;;9;;Boulevard Agutte Sembat;NA;38185;Grenoble;38185_0140;ban
1376304;637409.708069311;5651212.396402067;IMB/38185/C/000F;38185;11;fo;imm;38185_0140_00008;;8;;Boulevard Agutte Sembat;NA;38185;Grenoble;38185_0140;ban
3186165;637390.0756713842;5651250.218402676;IMB/38185/C/000C;38185;5;fo;imm;38185_0140_00004;;4;;Boulevard Agutte Sembat;NA;38185;Grenoble;38185_0140;ban
3845194;637626.5993389909;5651015.286943366;IMB/38185/C/000J;38185;19;fo;imm;38185_0140_00015;;15;;Boulevard Agutte Sembat;NA;38185;Grenoble;38185_0140;ban
4256421;637683.8581696425;5650863.472565543;IMB/38185/X/02OY;38185;20;fo;imm;38185_0140_00022;;22;;Boulevard Agutte Sembat;NA;38185;Grenoble;38185_0140;ban
4720022;637563.1644609094;5651089.135816812;IMB/38185/C/000I;38185;21;fo;imm;38185_0140_00011;;11;;Boulevard Agutte Sembat;NA;38185;Grenoble;38185_0140;ban
4771029;637653.2142824209;5650908.890269241;IMB/38185/C/02YX;38185;28;fo;imm;38185_0140_00020;;20;;Boulevard Agutte Sembat;NA;38185;Grenoble;38185_0140;ban
6059004;637412.8871697608;5651286.21409516;IMB/38185/C/0009;38185;9;fo;imm;38185_0140_00001;;1;;Boulevard Agutte Sembat;NA;38185;Grenoble;38185_0140;ban
6312824;637634.320462286;5650931.047098096;IMB/38185/C/02Y7;38185;25;fo;imm;38185_0140_00018;;18;;Boulevard Agutte Sembat;NA;38185;Grenoble;38185_0140;ban
6367012;637426.4327502601;5651271.400235229;IMB/38185/C/000B;38185;8;fo;imm;38185_0140_00003;;3;;Boulevard Agutte Sembat;NA;38185;Grenoble;38185_0140;ban
