,imb_id,rank,addr_code_x,imb_code_x,code_techno,classe_debit_montant,classe_debit_descendant,imb_longitude,imb_latitude,imb_code_y,imb_code_insee,imb_nbr_logloc,imb_source,imb_type,addr_code_y,imb_num,addr_numero,addr_rep,addr_nom_voie,addr_nom_ld,addr_code_insee,addr_nom_commune,addr_id_fantoir,addr_source,debit_Mbits
840506,4771367,7.0,38185_2350_00051,IMB/38185/C/04IH,COAX,THD30,THD1G,635542.2902566881,5649175.676933916,IMB/38185/C/04IH,38185,1,fo,pav,38185_2350_00051,,51.0,,Rue des Eaux Claires,,38185,Grenoble,38185_2350,ban,1000.0
840512,4771387,7.0,38185_3325_00017,IMB/38185/S/01ZG,FO,THD100,THD1G,636628.5520839028,5647080.21162518,IMB/38185/S/01ZG,38185,1,fo,pav,38185_3325_00017,,17.0,,Avenue du Grand Serre,,38185,Grenoble,38185_3325,ban,1000.0
840552,4771497,7.0,38185_6920_00012,IMB/38185/C/01N2,COAX,THD30,THD1G,637994.3620070548,5651524.136235737,IMB/38185/C/01N2,38185,12,fo,imm,38185_6920_00012,,12.0,,Rue Voltaire,,38185,Grenoble,38185_6920,ban,1000.0
840560,4771547,7.0,38185_1635_00035,IMB/38185/C/01PC,COAX,THD30,THD1G,636970.7994034288,5647132.227201839,IMB/38185/C/01PC,38185,76,fo,imm,38185_1635_00035,,35.0,,Rue Claude Kogan,,38185,Grenoble,38185_1635,ban,1000.0
840581,4771613,7.0,38185_6050_00013,IMB/38185/C/03FO,COAX,THD30,THD1G,636349.6056283877,5649496.338218359,IMB/38185/C/03FO,38185,1,fo,imm,38185_6050_00013,,13.0,,Avenue Rochambeau,,38185,Grenoble,38185_6050,ban,1000.0
840588,4771649,7.0,38185_3880_00082,IMB/38185/X/031F,FO,THD100,THD1G,638723.8258236246,5649048.019031953,IMB/38185/X/031F,38185,1,fo,pav,38185_3880_00082,,82.0,,Avenue Jean Perrot,,38185,Grenoble,38185_3880,ban,1000.0
840638,4771992,6.0,38185_6700_00027,IMB/38185/X/034Y,COAX,HD3,THD100,638759.1800791706,5647995.822027512,IMB/38185/X/034Y,38185,1,fo,pav,38185_6700_00027,,27.0,,Rue Turgot,,38185,Grenoble,38185_6700,ban,550.0
840676,4772332,7.0,38185_0240_00010,IMB/38185/S/03XP,COAX,THD30,THD1G,635597.4120131626,5649602.708970286,IMB/38185/S/03XP,38185,1,fo,pav,38185_0240_00010,,10.0,,Rue Alexandre Dumas,,38185,Grenoble,38185_0240,ban,1000.0
840681,4772368,7.0,38185_5894_00035,IMB/38185/S/059W,COAX,THD30,THD1G,635326.7371827542,5650265.607790937,IMB/38185/S/059W,38185,1,fo,pav,38185_5894_00035,,35.0,,Rue Raspail,,38185,Grenoble,38185_5894,ban,1000.0
840693,4772471,6.0,38185_4360_00005,IMB/38185/S/06OL,COAX,HD3,THD100,638678.7787143784,5649514.925356789,IMB/38185/S/06OL,38185,2,fo,imm,38185_4360_00005,,5.0,,Rue Leroy,,38185,Grenoble,38185_4360,ban,550.0
840750,4772940,7.0,38185_1830_00003,IMB/38185/S/0695,COAX,THD30,THD1G,639612.8280677246,5650272.027293497,IMB/38185/S/0695,38185,1,fo,pav,38185_1830_00003,,3.0,,Rue Commandant Perreau,,38185,Grenoble,38185_1830,ban,1000.0
840792,4773239,6.0,38185_1250_00003,IMB/38185/S/047A,COAX,HD3,THD100,635982.8082984206,5647682.388908193,IMB/38185/S/047A,38185,1,fo,pav,38185_1250_00003,,3.0,,Rue Capitaine Belmont,,38185,Grenoble,38185_1250,ban,550.0
840833,4773694,4.0,38185_4853_00020,IMB/38185/C/026I,CU,HD05,BHD8,637615.8685545226,5646977.8004823215,IMB/38185/C/026I,38185,2,fo,pav,38185_4853_00020,,20.0,,Avenue Marie Reynoard,,38185,Grenoble,38185_4853,ban,15.5
841231,4775804,7.0,38185_1370_00027_b,IMB/38185/C/04HM,COAX,THD30,THD1G,635284.7342935308,5649714.278166614,IMB/38185/C/04HM,38185,80,fo,imm,38185_1370_00027_b,,27.0,b,Rue des Champs Elysées,,38185,Grenoble,38185_1370,ban,1000.0
841497,4781967,7.0,38185_6035_00001,ID-38185000008D,COAX,THD30,THD1G,635164.456699308,5649866.231840611,ID-38185000008D,38185,43,fo,imm,38185_6035_00001,,1.0,,Avenue Rhin et Danube,,38185,Grenoble,38185_6035,ban,1000.0
841509,4781992,7.0,38185_1320_00001,ID-3818500000CE,COAX,THD30,THD1G,637819.293308204,5651278.853056664,ID-3818500000CE,38185,18,fo,imm,38185_1320_00001,,1.0,,Rue Casimir Périer,,38185,Grenoble,38185_1320,ban,1000.0
841515,4782004,7.0,38185_6035_00041,ID-3818500000FG,COAX,THD30,THD1G,635228.7961140563,5649134.709225171,ID-3818500000FG,38185,24,fo,imm,38185_6035_00041,,41.0,,Avenue Rhin et Danube,,38185,Grenoble,38185_6035,ban,1000.0
