;dpt;techno_maj;débit_maj;pourcentage_bas_debit;imb_latitude;imb_longitude
3268;;SAT;BHD8;0;5648963.606633472;636832.6594736205
3269;;SAT;BHD8;0;5649013.849434389;637051.615184543
3270;;SAT;BHD8;0;5648883.809888992;636721.5318018623
3271;;SAT;BHD8;0;5648901.883672583;637109.1622368338
3272;;SAT;BHD8;0;5648887.4505288275;636653.6672722446
3273;;SAT;BHD8;0;5648941.407947866;636852.9531830832
3274;;SAT;BHD8;0;5648949.3473736225;637129.6245701782
3275;;SAT;BHD8;0;5649024.5796080325;635782.397171982
3276;;SAT;BHD8;0;5648906.376873156;635720.6551091475
3277;;SAT;BHD8;0;5649034.513513061;635683.6229482864
3278;;SAT;BHD8;0;5648945.810164792;635729.420640371
3279;;SAT;BHD8;0;5649020.321462513;635683.0237963996
3280;;SAT;BHD8;0;5648979.163527906;635780.4452986241
3281;;SAT;BHD8;0;5648981.029255436;635704.0115295055
3282;;SAT;BHD8;0;5648931.584689513;635762.8221851587
3283;;SAT;BHD8;0;5649070.612318617;635802.789346972
3284;;SAT;BHD8;0;5651776.020724053;636742.2096928846
3285;;SAT;BHD8;0;5651796.6303984765;636726.0811902726
3286;;SAT;BHD8;0;5651834.26426877;636710.6790828046
3287;;SAT;BHD8;0;5651787.671744483;636867.4426249765
3288;;SAT;BHD8;0;5650285.1704993835;635433.8659579604
3289;;SAT;BHD8;0;5650308.126684448;635429.1769248968
3290;;SAT;BHD8;0;5650139.52321066;635414.8885587797
3291;;SAT;BHD8;0;5650151.8697651075;635425.3368637314
3292;;SAT;BHD8;0;5650088.164352869;635385.762831734
3293;;SAT;BHD8;0;5650297.4684687825;635445.7309403343
3294;;SAT;BHD8;0;5650259.072246012;635445.5098520226
3295;;SAT;BHD8;0;5650275.870054217;635451.8986811562
3296;;SAT;BHD8;0;5650283.3701835275;635409.6959535457
3297;;SAT;THD1G;0;5650246.42538737;635442.1276339228
3298;;SAT;BHD8;0;5650153.369823483;635456.5726780054
3299;;SAT;BHD8;0;5650101.94805109;635428.862623507
3300;;SAT;BHD8;0;5650297.500812775;635411.7249086727
3301;;SAT;THD1G;0;5650382.2382390825;635425.2586083061
3302;;SAT;BHD8;0;5650101.694398961;635401.9239590946
3303;;SAT;BHD8;0;5650061.955505887;635400.2248391927
3304;;SAT;BHD8;0;5650421.804607073;635401.8362384997
3305;;SAT;BHD8;0;5650194.907211447;635449.8531481315
3306;;SAT;BHD8;0;5650126.364994715;636083.2524351589
3307;;SAT;BHD8;0;5650018.3818142;635982.2557404118
3308;;SAT;BHD8;0;5650203.308337776;636178.6778406489
3309;;SAT;BHD8;0;5650354.477344284;636399.1651023069
3310;;SAT;BHD8;0;5650278.528701467;636313.6972472438
3311;;SAT;BHD8;0;5650329.306469852;636290.3657385273
3312;;SAT;BHD8;0;5650267.842001652;636297.6460407446
3313;;SAT;BHD8;0;5650307.618893652;636340.7180278911
3314;;SAT;BHD8;0;5650358.72484713;636234.9318177779
3315;;SAT;BHD8;0;5650002.088871274;635964.552723462
3316;;SAT;BHD8;0;5650189.429308514;636203.5866322025
3317;;SAT;BHD8;0;5650041.967385361;635996.0252538726
3318;;SAT;BHD8;0;5650344.456202725;636367.5509194353
3319;;SAT;THD1G;0;5651941.814331138;636360.9173159305
3320;;SAT;THD1G;0;5651861.6914696675;636339.0489255132
3321;;SAT;BHD8;0;5651826.645112758;636228.4033970715
3322;;SAT;THD1G;0;5651880.5906986175;636362.5476653362
3323;;SAT;THD1G;0;5651845.08021251;636328.4227214806
3324;;SAT;THD1G;0;5651851.996184174;636332.9718630643
3325;;SAT;BHD8;0;5651808.451101433;636254.5588552114
3326;;SAT;BHD8;0;5650118.3034196375;638700.5567424969
3327;;SAT;BHD8;0;5650130.3427146925;638718.0898226651
3328;;SAT;BHD8;0;5650023.904527058;638746.0911812434
3329;;SAT;BHD8;0;5650075.057773885;638746.8811607595
